Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Durham SmytheMIA,TE,3,2,6,11,5.5,0,8,0,3.7,0,0,4,0
Trenton IrwinCIN,WR,2,2,8,11,5.5,0,6,0,5.5,0,0,4,1
C.J. HamMIN,FB,3,2,2,11,5.5,0,8,0,3.7,1,1,6,0
Cam AkersHOU,RB,2,2,4,11,5.5,1,8,0,5.5,0,0,7,1
Troy FranklinDEN,WR,2,2,6,11,5.5,0,6,0,5.5,0,0,16,0
Treylon BurksTEN,WR,3,2,6,11,5.5,0,9,0,3.7,0,0,5,1
Raheem MostertMIA,RB,1,2,3,10,5.0,0,7,0,10.0,0,0,17,1
Darnell WashingtonPIT,TE,3,2,2,10,5.0,1,5,0,3.3,0,0,1,1
MyCole PruittPIT,TE,2,1,2,9,9.0,0,9,0,4.5,0,0,1,0
Pharaoh BrownSEA,TE,1,1,2,9,9.0,0,9,0,9.0,0,0,5,0
D'Onta ForemanCLE,RB,3,1,1,9,9.0,0,9,0,3.0,0,0,2,0
DJ TurnerLV,WR,3,1,1,9,9.0,0,9,0,3.0,0,0,11,0
Cedric TillmanCLE,WR,3,3,5,9,3.0,0,4,0,3.0,0,0,7,0
Luke MusgraveGB,TE,3,2,4,9,4.5,0,6,0,3.0,0,0,9,0
Eric GrayNYG,RB,4,1,1,9,9.0,0,9,0,2.3,0,0,14,0
Johnny WilsonPHI,WR,3,1,4,9,9.0,0,9,0,3.0,0,0,6,1
Josiah DeguaraJAX,TE,1,1,1,8,8.0,0,8,0,8.0,0,0,1,0
Velus JonesCHI,WR,1,1,1,8,8.0,0,8,0,8.0,0,0,13,0
Laviska ShenaultSEA,WR,3,3,3,8,2.7,0,6,0,2.7,0,0,20,0
Payne DurhamTB,TE,3,1,1,8,8.0,0,8,0,2.7,0,0,6,0
Jaleel McLaughlinDEN,RB,3,6,6,8,1.3,0,7,0,2.7,1,1,29,0
Trey SermonIND,RB,3,1,1,7,7.0,0,7,0,2.3,0,0,6,0
Brevin JordanHOU,TE,2,2,3,7,3.5,0,4,0,3.5,0,0,3,1
Jared WileyKC,TE,3,1,1,7,7.0,0,7,0,2.3,0,0,3,0
Nate AdkinsDEN,TE,3,1,2,6,6.0,0,6,0,2.0,0,0,4,0
Kenneth WalkerSEA,RB,1,2,3,6,3.0,0,8,0,6.0,0,0,15,1
Robbie ChosenMIA,WR,2,1,4,5,5.0,0,5,0,2.5,0,0,1,0
Jamison CrowderWSH,WR,2,1,1,5,5.0,0,5,0,2.5,0,0,8,0
Evan EngramJAX,TE,1,1,4,5,5.0,0,5,0,5.0,0,0,1,0
John BatesWSH,TE,3,1,2,5,5.0,0,5,0,1.7,0,0,3,0
Charlie JonesCIN,WR,3,1,1,5,5.0,0,5,0,1.7,0,0,0,0
Michael BurtonDEN,FB,3,2,2,4,2.0,0,3,0,1.3,0,0,1,0
Chris ConleySF,WR,3,1,1,4,4.0,0,4,0,1.3,0,0,0,0
Charlie WoernerATL,TE,3,1,2,4,4.0,0,4,0,1.3,0,0,1,0
Khalil HerbertCHI,RB,3,2,2,4,2.0,0,2,0,1.3,0,0,6,0
Malachi CorleyNYJ,WR,3,1,1,4,4.0,0,4,0,1.3,0,0,5,0
Cedrick WilsonNO,WR,3,1,1,3,3.0,0,3,0,1.0,0,0,10,0
MarShawn LloydGB,RB,1,1,1,3,3.0,0,3,0,3.0,0,0,8,0
Xavier HutchinsonHOU,WR,3,1,3,3,3.0,0,3,0,1.0,0,0,0,0
Taysom HillNO,TE,2,2,3,2,1.0,0,1,0,1.0,0,0,3,0
Jake BrendelSF,C,3,0,0,2,0.0,0,2,0,0.7,1,0,2,0
Gus EdwardsLAC,RB,3,1,1,2,2.0,0,2,0,0.7,0,0,4,0
Patrick MahomesKC,QB,3,1,1,2,2.0,0,2,0,0.7,0,0,3,0
Connor HeywardPIT,TE,3,1,1,2,2.0,0,2,0,0.7,0,0,0,0
Tyler BadieDEN,RB,2,1,1,2,2.0,0,2,0,1.0,0,0,0,0
Kayshon BoutteNE,WR,1,1,2,2,2.0,0,2,0,2.0,0,0,0,1
Tyler GoodsonIND,RB,2,1,1,2,2.0,0,2,0,1.0,0,0,0,0
Carson SteeleKC,RB,3,1,2,2,2.0,0,2,0,0.7,0,0,8,0
Trent ScottWSH,OT,3,1,1,1,1.0,1,1,0,0.3,0,0,0,1
Tanner ConnerMIA,TE,3,1,2,1,1.0,0,1,0,0.3,0,0,0,0
Wanya MorrisKC,OT,3,1,1,1,1.0,1,1,0,0.3,0,0,0,1
Jordan MatthewsCAR,TE,2,0,1,0,0.0,0,0,0,0.0,0,0,0,0
